number;name;brand;price;numberofsim;diagonal;width;length;screentechnology;os;numberofcore;memoryGB;sensortype
1;Xiaomi 11T 8/128GB, Meteorite Gray;Xiaomi;259990;2;6.67;2400;1080;AMOLED;Android 11;8;128;акселерометр
2;Vivo Y53S (128GB), Deep Sea Blue;Vivo;134990;2;6.58;2408;1080;IPS;Funtouch ОS 11.1;8;128;gps
3;Vivo Y53S (128GB), Fantastic Rainbow;Vivo;134990;2;6.58;2408;1080;IPS;Funtouch ОS 11.1;8;128;gps
4;Samsung Galaxy Z Flip 3 (new) 128GB, beige;Samsung;549890;2;6.7;2640;1080;Dynamic AMOLED 2X;Android 11;8;128;gps
5;Samsung Galaxy Z Flip 3 (new)128GB, green;Samsung;549890;2;6.7;2640;1080;Dynamic AMOLED 2X;Android 11;8;128;gps
6;Samsung Galaxy Z Flip 3 (new) 128GB, black;Samsung;549890;2;6.7;2640;1080;Dynamic AMOLED 2X;Android 11;8;128;gps
7;Samsung Galaxy Z Flip 3 (new) 256GB, beige;Samsung;579890;2;6.7;2640;1080;Dynamic AMOLED 2X;Android 11;8;256;gps
8;Samsung Galaxy Z Flip 3 (new) 256GB, green;Samsung;579890;2;6.7;2640;1080;Dynamic AMOLED 2X;Android 11;8;256;gps
9;Samsung Galaxy Z Flip 3 (new) 256GB, black;Samsung;579890;2;6.7;2640;1080;Dynamic AMOLED 2X;Android 11;8;256;gps
10;BQ-6645L Element Черный Графит;BQ-6645L;58533;2;6.52;1200;540;IPS;Android 11;8;32;gps
11;BQ-6645L Element Мятно-Розовый;BQ-6645L;59333;2;6.52;1200;540;IPS;Android 11;8;32;gps
12;BQ-6645L Element Глубокий Зеленый;BQ-6645L;59333;2;6.52;1200;540;IPS;Android 11;8;32;gps
13;BQ 6630L Magic L Wine Red;BQ;60000;2;6.53;1600;720;IPS;Android 10;8;32;gps
14;Xiaomi Mi 11 Lite 5G NE 8/128GB, Peach Pink;Xiaomi;189990;2;6.55;2400;1080;AMOLED;Android 11;8;128;акселерометр
15;Xiaomi Redmi 10 4/64GB, Pebble White;Xiaomi;89990;2;6.5;2400;1080;IPS;Android;8;64;gps
16;BQ 6630L Magic L Deep Blue;BQ;60000;2;6.53;1600;720;IPS;Android 10;8;32;gps
17;BQ 6022G Aura Violet;BQ;36666;2;5.99;960;480;IPS;Android;4;16;gps
18;BQ 6022G Aura Black vibes;BQ;36666;2;5.99;960;480;IPS;Android;4;16;gps
19;BQ 5533G Fresh Sea Wave Blue;BQ;32200;2;5.45;960;480;IPS;Android 10;4;16;gps
20;BQ 5533G Fresh Night Blue;BQ;32200;2;5.45;960;480;IPS;Android 10;4;16;gps
21;BQ 5533G Fresh Graphite;BQ;32200;2;5.45;960;480;IPS;Android 10;4;16;gps
22;BQ 5031G Fun Graphite;BQ;28666;2;5.0;1280;720;IPS;Android 10;4;8;gps
23;BQ-5016G Choice Ультрафиолет;BQ-5016G;32666;2;5.0;1280;720;IPS;Android 9.0;4;16;gps
24;Xiaomi Mi 11 Lite 5G NE 8/128GB, Bubblegum Blue;Xiaomi;189990;2;6.55;2400;1080;AMOLED;Android 11;8;128;акселерометр
25;Xiaomi Mi 11 Lite 5G NE 8/256GB, Bubblegum Blue;Xiaomi;209990;2;6.55;2400;1080;AMOLED;Android 11;8;128;акселерометр
26;Xiaomi Mi 11 Lite 5G NE 8/256GB, Snowflake White;Xiaomi;209990;2;6.55;2400;1080;AMOLED;Android 11;8;128;акселерометр
27;Xiaomi Mi 11 Lite 5G NE 8/256GB, Truffle Black;Xiaomi;209990;2;6.55;2400;1080;AMOLED;Android 11;8;128;акселерометр
28;Xiaomi Mi 11 Lite 5G NE 8/128GB, Snowflake White;Xiaomi;189990;2;6.55;2400;1080;AMOLED;Android 11;8;128;акселерометр
29;Xiaomi Mi 11 Lite 5G NE 8/128GB, Truffle Black;Xiaomi;189990;2;6.55;2400;1080;AMOLED;Android 11;8;128;акселерометр
30;Xiaomi Mi 11 Lite 5G NE 6/128GB, Bubblegum Blue;Xiaomi;179990;2;6.55;2400;1080;AMOLED;Android 11;8;128;акселерометр
31;Xiaomi Mi 11 Lite 5G NE 6/128GB, Truffle Black;Xiaomi;179990;2;6.55;2400;1080;AMOLED;Android 11;8;128;акселерометр
32;Apple iPhone 13 256 GB Red (MLP63RK/A);Apple;579890;1;6.1;2532;1170;Super Retina XDR;iOS 15;6;256;акселерометр
33;Xiaomi Poco X3 Pro 6/128GB, Frost Blue;Xiaomi;129990;2;6.67;2400;1080;IPS;Android 11;8;128;акселерометр
34;Xiaomi Poco X3 Pro 8/256GB, Metal Bronze;Xiaomi;149990;2;6.67;2400;1080;IPS;Android 11;8;256;акселерометр
35;Xiaomi Poco X3 Pro 8/256GB, Phantom Black;Xiaomi;149990;2;6.67;2400;1080;IPS;Android 11;8;256;акселерометр
36;Samsung Galaxy S20 FE (new) Red (SM-G780GZRDSKZ);Samsung;269890;1;6.5;2400;1080;Super AMOLED;Android 10;8;128;акселерометр
37;Samsung Galaxy S20 FE (new) Green (SM-G780GZGDSKZ);Samsung;269890;1;6.5;2400;1080;Super AMOLED;Android 10;8;128;акселерометр
38;Samsung Galaxy S20 FE (new) Navy (SM-G780GZBDSKZ);Samsung;269890;1;6.5;2400;1080;Super AMOLED;Android 10;8;128;акселерометр
39;Samsung Galaxy S20 FE (new) Lavender (SM-G780GLVDSKZ);Samsung;269890;1;6.5;2400;1080;Super AMOLED;Android 10;8;128;акселерометр
40;Xiaomi Redmi 9C 128GB, Midnight Gray;Xiaomi;69990;2;6.53;1600;720;IPS;Android 10;8;128;акселерометр
41;Apple iPhone 13 mini 256 GB Blue (MLM83RK/A);Apple;514890;1;5.4;2340;1080;Super Retina XDR;iOS 15;6;256;акселерометр
42;Apple iPhone 13 512 GB Blue (MLPD3RK/A);Apple;709890;1;6.1;2532;1170;Super Retina XDR;iOS 15;6;512;акселерометр
43;Apple iPhone 13 512 GB Midnight (MLP83RK/A);Apple;709890;1;6.1;2532;1170;Super Retina XDR;iOS 15;6;512;акселерометр
44;Apple iPhone 13 256 GB Pink (MLP53RK/A);Apple;579890;1;6.1;2532;1170;Super Retina XDR;iOS 15;6;256;акселерометр
45;OPPO Reno 6, Stellar Black;OPPO;249990;2;6.4;2400;1080;AMOLED;Собственная;8;128;акселерометр
46;OPPO Reno 6, Aurora;OPPO;249990;2;6.4;2400;1080;AMOLED;Собственная;8;128;акселерометр
47;Xiaomi Poco X3 Pro 6/128GB, Phantom Black;Xiaomi;129990;2;6.67;2400;1080;IPS;Собственная;8;128;акселерометр
